Title,Year,Synopsis,Review,Original Language,Sentiment
Roma,2018,Cleo (Yalitza Aparicio) is a young domestic worker who works for a middle-class family in Mexico City during the 1970s. The film follows her daily life,"""Rome is a beautiful and moving film that pays tribute to the lives of domestic workers in Mexico. Cinematography is impressive and Yalitza Aparicio's performance is exceptional",sp,Positive
La Casa de Papel,(2017-2021),This Spanish television series follows a group of thieves planning an ambitious robbery at the National Currency and Timbre Factory. The series became an international success and was broadcast worldwide via Netflix.,"""The Paper House is an exciting and addictive series that will keep you on edge from start to finish. The characters are complex and well developed, and the plot is smart and surprising.""",sp,Positive
Y tu mamá también,2001,Two teenage friends (Gael García Bernal and Diego Luna) embark on a road trip with an older woman (Maribel Verdú) who they have just met. The film,"""And your mom is also a movie that stays with you long after it ends. Alfonso Cuarón's direction is masterful, and the performance of the three protagonists is",sp,Positive
El Laberinto del Fauno,2006,"During the Spanish postwar period, Ofelia (Ivana Baquero) moves to a rural area with her mother and stepfather, a captain of the Francoist army. There","""The Labyrinth of Fauno is a fascinating and emotional film that combines the reality of the Spanish postwar period with elements of fantasy. Guillermo del Toro's direction is",sp,Positive
Amores perros,2000,"Three stories intertwine in this Mexican film: a man who engages in dog fights, a model who suffers a car accident and a woman who abandons her husband. The","""Amores dogs is an intense and moving film that will keep you glued to the screen. Alejandro González Iñárritu's direction is masterful, and",sp,Positive
Águila Roja ,(2009-2016),This Spanish television series follows the adventures of a vigilante masked in the 17th century. The series was criticized for its lack of historical precision and predictable plot.,"""Red Eagle is a boring and uninteresting series that fails to capture the historical era in which it unfolds. The performance is mediocre and the plot is predictable and",sp,Negative
Toc Toc,2017,"In this Spanish comedy, a group of people with obsessive-compulsive disorders find themselves in the waiting room of a psychiatrist. The film was criticized for its repetitive jokes and","""Toc Toc is a boring and unoriginal film that abuses the same jokes over and over again. Characters are stereotyped and the plot is predictable and meaningless.""",sp,Negative
El Bar,2017,A group of people are trapped in a bar after Madrid suffers a blackout. The film was criticized for its lack of consistency and absurd plot.,"""The Bar is a ridiculous and meaningless film that fails to create an atmosphere of tension or suspense. The performance is mediocre and the plot is absurd and unlikely.""",sp,Negative
Torrente: El brazo tonto de la ley,1998,"In this Spanish comedy, a corrupt cop (played by Santiago Segura) tries to solve a murder case. The film was criticized for its offensive jokes and lack of grace.","""Torrente is a vulgar and offensive film that abuses stereotypes and easy jokes. Acting is poor and the plot is inconsistent and inconsistent.""",sp,Negative
El Incidente,2014,"In this Mexican horror film, a group of people get trapped in an elevator and begin to experience paranormal phenomena. The film was criticized for its lack of originality and predictable plot.","""The Incident is a boring and frightless film that fails to create an atmosphere of fear or tension. The performance is mediocre and the plot is predictable and unex",sp,Negative
La La Land,2016,"This musical tells the story of a budding actress and jazz pianist who fall in love in Los Angeles. The film was hailed for its enchanting music, dazzling dance scenes and","""The Land is an absolutely beautiful film with songs that stay in the head for days. The actors are incredible and their alchemy is palpable. The dance scenes are absolutely da",fr,Positive
Intouchables,2011,"This film tells the story of the unlikely friendship between a tetraplegic man and his home helper, a young man from the suburbs. The film was hailed for his intelligent humour","""Untouchables is an incredibly touching film with incredible actors and an inspiring story. The jokes are smart and never offensive, and the emotion is perfectly dosed. It is a",fr,Positive
Amélie,2001,"This romantic comedy tells the story of Amélie, a shy and dreamy young woman who decides to change the lives of people around her. The film was hailed for her colorful and","""Amélie is an absolutely charming film that will make you smile from beginning to end. The aesthetics of the film is beautiful and imaginative, and the music is enchant",fr,Positive
Les Choristes,2004,"This film tells the story of a music teacher who tries to change the lives of the difficult students of a boarding school for children in difficulty. The film was hailed for his moving music,","""The Choristes are a beautiful film that will make you laugh and cry. The music is absolutely moving and the performances are incredible, especially that of young actors. History is touching and",fr,Positive
Le Fabuleux Destin d'Amélie Poulain,2001,"This romantic comedy tells the story of Amélie, a shy young woman who decides to change the lives of people around her. The film was hailed for her colorful and imagin","""The Fabulous Destiny of Amélie Poulain is an absolutely charming film that will make you smile from beginning to end. The aesthetics of the film is magnificent and",fr,Positive
Le Dîner de Cons,1998,"The film follows the story of a group of rich friends who organize a weekly dinner where everyone has to bring a ""idiot"" to mock him. When one of the guests meets a guest","""I didn't like this movie at all. The concept of laughing people who are considered idiots is offensive and the film didn't make me laugh. The characters are all unpleasant",fr,Negative
La Tour Montparnasse Infernale,2001,"Two incompetent office workers find themselves trapped in the Montparnasse Tower elevator, which is being sabotaged, and they must save the building and its occupants before it is too late.","""I can't believe I wasted time watching this nonsense. The film is full of stupid jokes and scenes that are simply useless. The characters are irritating and the story",fr,Negative
Astérix aux Jeux Olympiques,2008,"In this film adaptation of the popular comic strip, Asterix and Obelix participate in the Olympic Games to help their loving friend win.","""This film is a complete disappointment. The jokes are irrelevant and the actors seem not to know what to do with their characters. The special effects are bad and the story is flat and",fr,Negative
Les Visiteurs en Amérique,2000,"In this continuation of the French comedy The Visitors, the characters travel through time to modern America.","""The film is a total waste of time. The jokes are repetitive and boring, the characters are caricatural and irritating, and the story is stupid and inconsistent",fr,Negative
Babylon A.D.,2008,"In the distant future, a mercenary has to escort a woman from Russia to New York, but when she discovers that the woman is pregnant with a very special child, he finds himself being","""This film is a complete mess. The characters are of no interest, the plot is confused and the special effects are bad. The film tries to be smart and cool, but fails lament",fr,Negative
